Creating 1 workers...
Opening file... beginning processing...
	 Frame 1630,	Number of micelles: 15
	 Frame 1640,	Number of micelles: 18
	 Frame 1650,	Number of micelles: 25
	 Frame 1660,	Number of micelles: 18
	 Frame 1670,	Number of micelles: 20
	 Frame 1680,	Number of micelles: 22
	 Frame 1690,	Number of micelles: 21
	 Frame 1700,	Number of micelles: 20
	 Frame 1710,	Number of micelles: 14
	 Frame 1720,	Number of micelles: 24
	 Frame 1730,	Number of micelles: 22
	 Frame 1740,	Number of micelles: 16
	 Frame 1750,	Number of micelles: 23
	 Frame 1760,	Number of micelles: 15
	 Frame 1770,	Number of micelles: 22
	 Frame 1780,	Number of micelles: 19
	 Frame 1790,	Number of micelles: 17
	 Frame 1800,	Number of micelles: 18
	 Frame 1810,	Number of micelles: 27
	 Frame 1820,	Number of micelles: 23
	 Frame 1830,	Number of micelles: 18
	 Frame 1840,	Number of micelles: 16
	 Frame 1850,	Number of micelles: 19
	 Frame 1860,	Number of micelles: 18
	 Frame 1870,	Number of micelles: 22
	 Frame 1880,	Number of micelles: 22
	 Frame 1890,	Number of micelles: 19
	 Frame 1900,	Number of micelles: 13
	 Frame 1910,	Number of micelles: 15
	 Frame 1920,	Number of micelles: 8
	 Frame 1930,	Number of micelles: 16
	 Frame 1940,	Number of micelles: 12
	 Frame 1950,	Number of micelles: 11
	 Frame 1960,	Number of micelles: 11
	 Frame 1970,	Number of micelles: 17
	 Frame 1980,	Number of micelles: 15
	 Frame 1990,	Number of micelles: 22
	 Frame 2000,	Number of micelles: 19
	 Frame 2010,	Number of micelles: 16
	 Frame 2020,	Number of micelles: 17
	 Frame 2030,	Number of micelles: 19
	 Frame 2040,	Number of micelles: 16
	 Frame 2050,	Number of micelles: 19
	 Frame 2060,	Number of micelles: 12
	 Frame 2070,	Number of micelles: 11
	 Frame 2080,	Number of micelles: 14
	 Frame 2090,	Number of micelles: 21
	 Frame 2100,	Number of micelles: 14
	 Frame 2110,	Number of micelles: 12
	 Frame 2120,	Number of micelles: 13
	 Frame 2130,	Number of micelles: 13
	 Frame 2140,	Number of micelles: 18
	 Frame 2150,	Number of micelles: 15
	 Frame 2160,	Number of micelles: 18
	 Frame 2170,	Number of micelles: 13
	 Frame 2180,	Number of micelles: 18
	 Frame 2190,	Number of micelles: 17
	 Frame 2200,	Number of micelles: 13
	 Frame 2210,	Number of micelles: 12
	 Frame 2220,	Number of micelles: 12
	 Frame 2230,	Number of micelles: 13
	 Frame 2240,	Number of micelles: 8
	 Frame 2250,	Number of micelles: 12
	 Frame 2260,	Number of micelles: 17
	 Frame 2270,	Number of micelles: 8
	 Frame 2280,	Number of micelles: 10
	 Frame 2290,	Number of micelles: 17
	 Frame 2300,	Number of micelles: 11
	 Frame 2310,	Number of micelles: 15
