   Cores     AvgAgg     AvgDistCores     Stem     Petal
   0         26     2.9615     0.0000     1.0000     0.0000
   1         23     4.0435     0.0000     1.0000     0.0000
   2         17     6.2941     0.0000     1.0000     0.0000
   3         12     9.0000     0.0000     1.0000     0.0000
   4         13     8.6154     0.0000     1.0000     0.0000
   5         10    11.3000     0.0000     1.0000     0.0000
   6          8    14.2500     0.0000     1.0000     0.0000
   7          9    12.7778     0.0000     1.0000     0.0000
   8          9    12.7778     0.0000     1.0000     0.0000
   9          8    14.2500     0.0000     1.0000     0.0000
  10          7    16.2857     0.0000     1.0000     0.0000
  11          6    19.5000     0.0000     1.0000     0.0000
  12          6    19.1667     0.0000     1.0000     0.0000
  13          6    19.5000     0.0000     1.0000     0.0000
  14          5    23.4000     0.0000     1.0000     0.0000
  15          5    23.2000     0.0000     1.0000     0.0000
  16          5    23.4000     0.0000     1.0000     0.0000
  17          4    29.2500     0.0000     1.0000     0.0000
  18          4    29.0000     0.0000     1.0000     0.0000
  19          4    29.0000     0.0000     1.0000     0.0000
  20          4    29.0000     0.0000     1.0000     0.0000
  21          4    29.0000     0.0000     1.0000     0.0000
  22          4    29.2500     0.0000     1.0000     0.0000
  23          4    29.2500     0.0000     1.0000     0.0000
  24          4    29.0000     0.0000     1.0000     0.0000
  25          3    38.3333     0.0000     1.0000     0.0000
  26          3    39.0000     0.0000     1.0000     0.0000
  27          3    38.6667     0.0000     1.0000     0.0000
  28          3    39.0000     0.0000     1.0000     0.0000
  29          4    29.2500     0.0000     1.0000     0.0000
  30          3    39.0000     0.0000     1.0000     0.0000
  31          3    39.0000     0.0000     1.0000     0.0000
  32          3    38.6667     0.0000     1.0000     0.0000
  33          3    39.0000     0.0000     1.0000     0.0000
  34          3    39.0000     0.0000     1.0000     0.0000
  35          3    38.3333     0.0000     1.0000     0.0000
  36          3    38.6667     0.0000     1.0000     0.0000
  37          2    58.5000     0.0000     1.0000     0.0000
  38          2    58.5000     0.0000     1.0000     0.0000
  39          2    58.0000     0.0000     1.0000     0.0000
  40          2    58.5000     0.0000     1.0000     0.0000
  41          2    58.5000     0.0000     1.0000     0.0000
  42          2    58.5000     0.0000     1.0000     0.0000
  43          2    58.5000     0.0000     1.0000     0.0000
  44          2    58.0000     0.0000     1.0000     0.0000
  45          2    58.5000     0.0000     1.0000     0.0000
  46          2    58.0000     0.0000     1.0000     0.0000
  47          2    58.5000     0.0000     1.0000     0.0000
  48          2    58.5000     0.0000     1.0000     0.0000
  49          2    58.5000     0.0000     1.0000     0.0000
  50          2    58.5000     0.0000     1.0000     0.0000
  51          2    58.5000     0.0000     1.0000     0.0000
  52          2    58.5000     0.0000     1.0000     0.0000
  53          2    58.0000     0.0000     1.0000     0.0000
  54          2    58.0000     0.0000     1.0000     0.0000
  55          2    58.0000     0.0000     1.0000     0.0000
  56          2    58.5000     0.0000     1.0000     0.0000
  57          2    58.5000     0.0000     1.0000     0.0000
  58          2    58.0000     0.0000     1.0000     0.0000
  59          2    58.0000     0.0000     1.0000     0.0000
  60          2    58.5000     0.0000     1.0000     0.0000
  61          2    58.5000     0.0000     1.0000     0.0000
  62          2    58.5000     0.0000     1.0000     0.0000
  63          2    58.5000     0.0000     1.0000     0.0000
  64          2    58.5000     0.0000     1.0000     0.0000
  65          2    58.5000     0.0000     1.0000     0.0000
  66          2    58.5000     0.0000     1.0000     0.0000
  67          2    57.5000     0.0000     1.0000     0.0000
  68          2    58.5000     0.0000     1.0000     0.0000
  69          2    58.5000     0.0000     1.0000     0.0000
  70          2    58.5000     0.0000     1.0000     0.0000
  71          2    58.5000     0.0000     1.0000     0.0000
  72          2    58.5000     0.0000     1.0000     0.0000
  73          2    58.5000     0.0000     1.0000     0.0000
  74          2    58.0000     0.0000     1.0000     0.0000
  75          2    58.5000     0.0000     1.0000     0.0000
  76          2    58.5000     0.0000     1.0000     0.0000
  77          2    58.5000     0.0000     1.0000     0.0000
  78          2    58.0000     0.0000     1.0000     0.0000
  79          2    58.0000     0.0000     1.0000     0.0000
  80          1   116.0000     0.0000     1.0000     0.0000
  81          1   116.0000     0.0000     1.0000     0.0000
  82          1   117.0000     0.0000     1.0000     0.0000
  83          1   117.0000     0.0000     1.0000     0.0000
  84          1   117.0000     0.0000     1.0000     0.0000
  85          1   117.0000     0.0000     1.0000     0.0000
  86          1   117.0000     0.0000     1.0000     0.0000
  87          1   117.0000     0.0000     1.0000     0.0000
  88          1   117.0000     0.0000     1.0000     0.0000
  89          1   117.0000     0.0000     1.0000     0.0000
  90          1   117.0000     0.0000     1.0000     0.0000
  91          1   117.0000     0.0000     1.0000     0.0000
  92          1   117.0000     0.0000     1.0000     0.0000
  93          1   117.0000     0.0000     1.0000     0.0000
  94          1   117.0000     0.0000     1.0000     0.0000
  95          1   116.0000     0.0000     1.0000     0.0000
  96          1   116.0000     0.0000     1.0000     0.0000
  97          1   117.0000     0.0000     1.0000     0.0000
  98          1   117.0000     0.0000     1.0000     0.0000
  99          1   117.0000     0.0000     1.0000     0.0000
 100          1   117.0000     0.0000     1.0000     0.0000
 101          1   117.0000     0.0000     1.0000     0.0000
 102          1   117.0000     0.0000     1.0000     0.0000
 103          1   117.0000     0.0000     1.0000     0.0000
 104          1   117.0000     0.0000     1.0000     0.0000
 105          1   117.0000     0.0000     1.0000     0.0000
 106          1   117.0000     0.0000     1.0000     0.0000
 107          1   116.0000     0.0000     1.0000     0.0000
 108          1   117.0000     0.0000     1.0000     0.0000
 109          1   117.0000     0.0000     1.0000     0.0000
 110          1   117.0000     0.0000     1.0000     0.0000
 111          1   117.0000     0.0000     1.0000     0.0000
 112          1   117.0000     0.0000     1.0000     0.0000
 113          1   117.0000     0.0000     1.0000     0.0000
 114          1   117.0000     0.0000     1.0000     0.0000
 115          1   117.0000     0.0000     1.0000     0.0000
 116          1   116.0000     0.0000     1.0000     0.0000
 117          1   117.0000     0.0000     1.0000     0.0000
 118          1   117.0000     0.0000     1.0000     0.0000
 119          1   117.0000     0.0000     1.0000     0.0000
 120          1   117.0000     0.0000     1.0000     0.0000
 121          1   117.0000     0.0000     1.0000     0.0000
 122          1   116.0000     0.0000     1.0000     0.0000
 123          1   117.0000     0.0000     1.0000     0.0000
 124          1   117.0000     0.0000     1.0000     0.0000
 125          1   117.0000     0.0000     1.0000     0.0000
 126          1   116.0000     0.0000     1.0000     0.0000
 127          1   117.0000     0.0000     1.0000     0.0000
 128          1   117.0000     0.0000     1.0000     0.0000
 129          1   117.0000     0.0000     1.0000     0.0000
 130          1   117.0000     0.0000     1.0000     0.0000
 131          1   117.0000     0.0000     1.0000     0.0000
 132          1   117.0000     0.0000     1.0000     0.0000
 133          1   116.0000     0.0000     1.0000     0.0000
 134          1   117.0000     0.0000     1.0000     0.0000
 135          1   117.0000     0.0000     1.0000     0.0000
 136          1   117.0000     0.0000     1.0000     0.0000
 137          1   117.0000     0.0000     1.0000     0.0000
 138          1   117.0000     0.0000     1.0000     0.0000
 139          1   117.0000     0.0000     1.0000     0.0000
 140          1   117.0000     0.0000     1.0000     0.0000
 141          1   117.0000     0.0000     1.0000     0.0000
 142          1   117.0000     0.0000     1.0000     0.0000
 143          1   116.0000     0.0000     1.0000     0.0000
 144          2    58.5000     0.0000     1.0000     0.0000
 145          1   117.0000     0.0000     1.0000     0.0000
 146          1   117.0000     0.0000     1.0000     0.0000
 147          1   116.0000     0.0000     1.0000     0.0000
 148          1   116.0000     0.0000     1.0000     0.0000
 149          1   117.0000     0.0000     1.0000     0.0000
 150          1   117.0000     0.0000     1.0000     0.0000
 151          1   117.0000     0.0000     1.0000     0.0000
 152          1   117.0000     0.0000     1.0000     0.0000
 153          1   117.0000     0.0000     1.0000     0.0000
 154          1   117.0000     0.0000     1.0000     0.0000
 155          1   116.0000     0.0000     1.0000     0.0000
 156          1   117.0000     0.0000     1.0000     0.0000
 157          1   116.0000     0.0000     1.0000     0.0000
 158          1   117.0000     0.0000     1.0000     0.0000
 159          1   117.0000     0.0000     1.0000     0.0000
 160          1   117.0000     0.0000     1.0000     0.0000
 161          1   117.0000     0.0000     1.0000     0.0000
 162          1   117.0000     0.0000     1.0000     0.0000
 163          1   117.0000     0.0000     1.0000     0.0000
 164          1   117.0000     0.0000     1.0000     0.0000
 165          1   117.0000     0.0000     1.0000     0.0000
 166          1   117.0000     0.0000     1.0000     0.0000
 167          1   117.0000     0.0000     1.0000     0.0000
 168          1   117.0000     0.0000     1.0000     0.0000
 169          1   117.0000     0.0000     1.0000     0.0000
 170          1   117.0000     0.0000     1.0000     0.0000
 171          1   117.0000     0.0000     1.0000     0.0000
 172          1   117.0000     0.0000     1.0000     0.0000
 173          1   117.0000     0.0000     1.0000     0.0000
 174          1   117.0000     0.0000     1.0000     0.0000
 175          1   117.0000     0.0000     1.0000     0.0000
 176          1   117.0000     0.0000     1.0000     0.0000
 177          1   117.0000     0.0000     1.0000     0.0000
 178          1   117.0000     0.0000     1.0000     0.0000
 179          1   117.0000     0.0000     1.0000     0.0000
 180          1   116.0000     0.0000     1.0000     0.0000
 181          1   117.0000     0.0000     1.0000     0.0000
 182          1   117.0000     0.0000     1.0000     0.0000
 183          1   117.0000     0.0000     1.0000     0.0000
 184          1   117.0000     0.0000     1.0000     0.0000
 185          1   117.0000     0.0000     1.0000     0.0000
 186          1   117.0000     0.0000     1.0000     0.0000
 187          1   117.0000     0.0000     1.0000     0.0000
 188          1   117.0000     0.0000     1.0000     0.0000
 189          1   117.0000     0.0000     1.0000     0.0000
 190          1   117.0000     0.0000     1.0000     0.0000
 191          1   117.0000     0.0000     1.0000     0.0000
 192          1   117.0000     0.0000     1.0000     0.0000
 193          1   116.0000     0.0000     1.0000     0.0000
 194          1   116.0000     0.0000     1.0000     0.0000
 195          1   117.0000     0.0000     1.0000     0.0000
 196          1   117.0000     0.0000     1.0000     0.0000
 197          1   117.0000     0.0000     1.0000     0.0000
 198          1   117.0000     0.0000     1.0000     0.0000
 199          1   117.0000     0.0000     1.0000     0.0000
 200          1   116.0000     0.0000     1.0000     0.0000
 201          1   117.0000     0.0000     1.0000     0.0000
 202          1   117.0000     0.0000     1.0000     0.0000
 203          1   117.0000     0.0000     1.0000     0.0000
 204          1   117.0000     0.0000     1.0000     0.0000
 205          1   117.0000     0.0000     1.0000     0.0000
 206          1   117.0000     0.0000     1.0000     0.0000
 207          1   116.0000     0.0000     1.0000     0.0000
 208          1   117.0000     0.0000     1.0000     0.0000
 209          1   116.0000     0.0000     1.0000     0.0000
 210          1   116.0000     0.0000     1.0000     0.0000
 211          1   116.0000     0.0000     1.0000     0.0000
 212          1   117.0000     0.0000     1.0000     0.0000
 213          1   117.0000     0.0000     1.0000     0.0000
 214          1   116.0000     0.0000     1.0000     0.0000
 215          1   117.0000     0.0000     1.0000     0.0000
 216          1   116.0000     0.0000     1.0000     0.0000
 217          1   117.0000     0.0000     1.0000     0.0000
 218          1   117.0000     0.0000     1.0000     0.0000
 219          1   117.0000     0.0000     1.0000     0.0000
 220          1   115.0000     0.0000     1.0000     0.0000
 221          1   115.0000     0.0000     1.0000     0.0000
 222          1   117.0000     0.0000     1.0000     0.0000
 223          1   117.0000     0.0000     1.0000     0.0000
 224          1   117.0000     0.0000     1.0000     0.0000
 225          1   117.0000     0.0000     1.0000     0.0000
 226          1   117.0000     0.0000     1.0000     0.0000
